Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
KAMAREDDY,KAMAREDDY,DOMAKONDA,RAJAMPET,GUNDARAM,3,INDUSTRIAL,4,2,217,32.5
KAMAREDDY,KAMAREDDY,DOMAKONDA,RAJAMPET,KONDAPOOR,3,INDUSTRIAL,14,10,10802,303.0
KAMAREDDY,KAMAREDDY,DOMAKONDA,RAJAMPET,PONDURTHI,3,INDUSTRIAL,5,2,911,68.0
KAMAREDDY,YELLAREDDY,LINGAMPET,GANDHARI,NAGLOOR,3,INDUSTRIAL,5,3,574,29.0
KAMAREDDY,YELLAREDDY,LINGAMPET,GANDHARI,NERAL,3,INDUSTRIAL,3,1,236,25.0
KAMAREDDY,YELLAREDDY,LINGAMPET,GANDHARI,NERAL THANDA,3,INDUSTRIAL,1,1,46,3.0
KAMAREDDY,YELLAREDDY,LINGAMPET,GANDHARI,SUMARAM,3,INDUSTRIAL,1,0,0,7.5
KAMAREDDY,YELLAREDDY,LINGAMPET,GANDHARI,TIPPARAM,3,INDUSTRIAL,2,1,71,11.0
KARIMNAGAR,HUZURABAD,HUZURABAD,PEDDAPAPAIAHPALLY,CHINNAPAPAIAHPALLY,3,INDUSTRIAL,3,3,17782,348.68
KARIMNAGAR,HUZURABAD,HUZURABAD,PEDDAPAPAIAHPALLY,DAMMAKKAPET (HZB),3,INDUSTRIAL,4,4,2539,102.34
KARIMNAGAR,HUZURABAD,HUZURABAD,PEDDAPAPAIAHPALLY,DHARMARAJPALLY,3,INDUSTRIAL,2,1,473,75.0
KARIMNAGAR,HUZURABAD,HUZURABAD,PEDDAPAPAIAHPALLY,IPPALNARSINGPUR(HZB),3,INDUSTRIAL,19,18,5211,474.91
KARIMNAGAR,HUZURABAD,HUZURABAD,PEDDAPAPAIAHPALLY,JUPAKA,3,INDUSTRIAL,1,1,75,12.9
KARIMNAGAR,HUZURABAD,HUZURABAD,PEDDAPAPAIAHPALLY,KANDUGULA,3,INDUSTRIAL,9,8,12857,473.0
KARIMNAGAR,HUZURABAD,HUZURABAD,PEDDAPAPAIAHPALLY,KANKULAGIDDA,3,INDUSTRIAL,5,4,12485,186.68
KARIMNAGAR,HUZURABAD,HUZURABAD,PEDDAPAPAIAHPALLY,KATRAPALLY,3,INDUSTRIAL,7,7,786,15.95
HANUMAKONDA,HANAMKONDA/RURAL,BD Pally,NARAYANAGIRI,KUMRGH H/O MALKUDURL,3,INDUSTRIAL,2,2,950,10.0
HANUMAKONDA,HANAMKONDA/RURAL,BD Pally,NARAYANAGIRI,MADDELAGUDEM H/O P.C,3,INDUSTRIAL,1,1,181,12.0
HANUMAKONDA,HANAMKONDA/RURAL,BD Pally,NARAYANAGIRI,MALLIKUDURLA,3,INDUSTRIAL,11,9,3070,216.42
HANUMAKONDA,HANAMKONDA/RURAL,BD Pally,NARAYANAGIRI,NARAYANAGIRI,3,INDUSTRIAL,15,14,3733,223.472
HANUMAKONDA,HANAMKONDA/RURAL,BD Pally,NARAYANAGIRI,PEECHARA,3,INDUSTRIAL,12,12,6078,232.382
HANUMAKONDA,HANAMKONDA/RURAL,BD Pally,NARAYANAGIRI,SHODESHPALY,3,INDUSTRIAL,6,6,1167,53.0
HANUMAKONDA,HANAMKONDA/RURAL,PARKAL,ATMAKUR,KAMARAM,3,INDUSTRIAL,3,2,0,25.0
HANUMAKONDA,HANAMKONDA/RURAL,PARKAL,ATMAKUR,KATANSKAPUR,3,INDUSTRIAL,3,2,391,160.67
HANUMAKONDA,HANAMKONDA/RURAL,PARKAL,ATMAKUR,KOTHAGATTU,3,INDUSTRIAL,4,4,9791,75.0
HANUMAKONDA,HANAMKONDA/RURAL,PARKAL,ATMAKUR,LINGAMADUGUPALLY,3,INDUSTRIAL,3,3,152,48.0
HANUMAKONDA,HANAMKONDA/RURAL,PARKAL,ATMAKUR,NAGAIAHPALLY,3,INDUSTRIAL,1,0,0,5.0
HANUMAKONDA,HANAMKONDA/RURAL,PARKAL,ATMAKUR,NIRKULLA,3,INDUSTRIAL,16,15,15865,510.5
HANUMAKONDA,HANAMKONDA/RURAL,PARKAL,ATMAKUR,PEDHAPUR,3,INDUSTRIAL,5,4,1054,66.99
HANUMAKONDA,HANAMKONDA/RURAL,PARKAL,ATMAKUR,PENCHIKALAPET,3,INDUSTRIAL,1,1,473,5.0
HANUMAKONDA,HANAMKONDA/TOWN,KAZIPET,KAZIPET,RAHMATHNAGAR,3,INDUSTRIAL,2,1,57,12.75
HANUMAKONDA,HANAMKONDA/TOWN,KAZIPET,KAZIPET,SOMIDI,3,INDUSTRIAL,2,1,113,17.0
HANUMAKONDA,HANAMKONDA/TOWN,KAZIPET,KAZIPET,VISHNUPURI,3,INDUSTRIAL,4,3,509,41.18
HANUMAKONDA,HANAMKONDA/TOWN,KAZIPET,MADIKONDA,KARUNAPURAM,3,INDUSTRIAL,1,1,0,10.0
HANUMAKONDA,HANAMKONDA/TOWN,KAZIPET,MADIKONDA,MADIKONDA,3,INDUSTRIAL,119,73,86631,3775.19
HANUMAKONDA,HANAMKONDA/TOWN,KAZIPET,MADIKONDA,RAMPOOR,3,INDUSTRIAL,153,102,197886,7064.966
HANUMAKONDA,HANAMKONDA/TOWN,KAZIPET,MADIKONDA,TEKULAGUDEM,3,INDUSTRIAL,1,1,3280,94.0
HANUMAKONDA,HANAMKONDA/TOWN,KAZIPET,MADIKONDA,TEXTILE PARK,3,INDUSTRIAL,168,92,82251,4370.0
HANUMAKONDA,HANAMKONDA/TOWN,KAZIPET,NIT,BANK COLONY,3,INDUSTRIAL,1,1,1136,29.0
HANUMAKONDA,HANAMKONDA/TOWN,KAZIPET,NIT,DARGA,3,INDUSTRIAL,3,3,663,30.33
HANUMAKONDA,HANAMKONDA/TOWN,KAZIPET,NIT,DEVANAPET,3,INDUSTRIAL,1,1,54,5.0
JAGITYAL,JAGITYAL,GOLLAPALLY,CHILAVAKODOOR,DATHNUR,3,INDUSTRIAL,3,2,101,28.0
JAGITYAL,JAGITYAL,GOLLAPALLY,CHILAVAKODOOR,DHAMMANNAPETA,3,INDUSTRIAL,4,4,829,49.5
JAGITYAL,JAGITYAL,GOLLAPALLY,CHILAVAKODOOR,LATHNURU,3,INDUSTRIAL,2,1,84,31.0
JAGITYAL,JAGITYAL,GOLLAPALLY,CHILAVAKODOOR,SHAKELLA,3,INDUSTRIAL,5,5,186,25.0
JAGITYAL,JAGITYAL,GOLLAPALLY,CHILAVAKODOOR,VENUGUMATLA,3,INDUSTRIAL,7,4,407,68.0
JAGITYAL,JAGITYAL,GOLLAPALLY,CHILAVAKODOOR,YESHWANTHRAOPET,3,INDUSTRIAL,4,3,1276,35.0
JAGITYAL,JAGITYAL,GOLLAPALLY,GOLLAPALLY,AGGIMALLA,3,INDUSTRIAL,5,3,675,43.0
JAGITYAL,JAGITYAL,GOLLAPALLY,GOLLAPALLY,BATTU BOTHAMRAJPALLY,3,INDUSTRIAL,1,1,10,5.0
JAGITYAL,JAGITYAL,MALLIAL,KODIMIAL,RAMAKISTAPUR,3,INDUSTRIAL,3,2,53,28.0
